group,transcript,layer,frac_live_p,median_log_p,median_contrast,n_unmasked_p,n_unmasked_c
clean,130_POISONED_KEY_2,4,0.0,4.483935815741956,0.10429636927927532,338,309
clean,130_POISONED_KEY_2,5,0.0,4.513583357286658,0.01692315012981549,338,309
clean,130_POISONED_KEY_2,6,0.0,4.406994403511259,0.04468215596804903,338,309
clean,130_POISONED_KEY_2,7,0.0,4.43708178165262,0.048005214490960846,338,309
clean,130_POISONED_KEY_2,8,0.0,4.601971683341731,0.032275114289355145,338,309
clean,130_POISONED_KEY_2,9,0.0,4.601543816484307,0.02335799254061577,338,309
clean,130_POISONED_KEY_2,10,0.0,4.684612934540862,0.010328925035807401,338,309
clean,130_POISONED_KEY_2,11,0.0,4.730366343141773,0.0035977177230197555,338,309
clean,130_POISONED_KEY_2,12,0.0,4.727878597459674,0.022046431959457102,338,309
clean,130_POISONED_KEY_2,13,0.0,4.756363308782715,0.0,338,309
clean,130_POISONED_KEY_2,14,0.0,4.811879427358688,-0.012389718701417252,338,309
clean,130_POISONED_KEY_2,15,0.0,4.780992677241432,-0.008353823207474242,338,309
clean,130_POISONED_KEY_2,16,0.0,4.746491503584801,0.008797985978874046,338,309
clean,130_POISONED_KEY_2,17,0.0,4.770601657551479,-0.01705974066568583,338,309
clean,130_POISONED_KEY_2,18,0.0,4.734967273486291,-0.06753234411415132,338,309
clean,130_POISONED_KEY_2,19,0.005917159763313609,4.735902134809002,-0.1301761808889479,338,309
clean,130_POISONED_KEY_2,20,0.026627218934911243,4.710780381874871,-0.1662038381927804,338,309
clean,130_POISONED_KEY_2,21,0.03254437869822485,4.592596448042501,-0.18800951663328558,338,309
clean,130_POISONED_KEY_2,22,0.038461538461538464,4.638400220326563,-0.21746243318727831,338,309
clean,130_POISONED_KEY_2,23,0.038461538461538464,4.59062420014,-0.2805252824557103,338,309
clean,130_POISONED_KEY_2,24,0.04437869822485207,4.579787270043358,-0.23724376539196523,338,309
clean,130_POISONED_KEY_2,25,0.04437869822485207,4.543060874812834,-0.1777143014199174,338,309
clean,130_POISONED_KEY_2,26,0.05621301775147929,4.539496381664841,-0.20033689293387713,338,309
clean,130_POISONED_KEY_2,27,0.07396449704142012,4.369466317389892,-0.1640544138221962,338,309
clean,130_POISONED_KEY_2,28,0.08284023668639054,4.29703668793009,-0.15903199869199103,338,309
clean,130_POISONED_KEY_2,29,0.09171597633136094,4.095984772083459,-0.0990219449490084,338,309
clean,130_POISONED_KEY_2,30,0.07692307692307693,3.9796187839904693,-0.11731336332067688,338,309
clean,136_POISONED_KEY_2,0,0.0,4.308308242998225,0.06897996638446147,629,576
clean,136_POISONED_KEY_2,1,0.0,4.522939542252115,0.09663491098068766,629,576
clean,136_POISONED_KEY_2,2,0.0,4.431106328181145,0.11513775034136575,629,576
clean,136_POISONED_KEY_2,3,0.0,4.423065563330095,0.16305728879431092,629,576
clean,136_POISONED_KEY_2,4,0.0,4.331326050575092,0.1462074616749558,629,576
clean,136_POISONED_KEY_2,5,0.0,4.351448422909116,0.13867998073415988,629,576
clean,136_POISONED_KEY_2,6,0.0,4.283843757795844,0.1022099969171597,629,576
clean,136_POISONED_KEY_2,7,0.0,4.321494866739587,0.15191420051880966,629,576
clean,136_POISONED_KEY_2,8,0.0,4.522809252603671,0.0842311347227338,629,576
clean,136_POISONED_KEY_2,9,0.0,4.590474010567672,0.041581477271101175,629,576
clean,136_POISONED_KEY_2,10,0.0,4.670115916485489,0.02525241853105653,629,576
clean,136_POISONED_KEY_2,11,0.0,4.7455588069811165,0.040352743042324946,629,576
clean,136_POISONED_KEY_2,12,0.0,4.784239170642273,0.04333484820239919,629,576
clean,136_POISONED_KEY_2,13,0.0,4.807352342438942,0.008678877852533518,629,576
clean,136_POISONED_KEY_2,14,0.0,4.825581890539186,0.04276494344015758,629,576
clean,136_POISONED_KEY_2,15,0.0,4.774692108014255,0.015082598565502536,629,576
clean,136_POISONED_KEY_2,16,0.0,4.753077236473406,0.0,629,576
clean,136_POISONED_KEY_2,17,0.0,4.755211478757267,-0.029357598827557396,629,576
clean,136_POISONED_KEY_2,18,0.0,4.766598721064264,-0.07443317883820644,629,576
clean,136_POISONED_KEY_2,19,0.001589825119236884,4.7068969238547025,-0.05826917480749394,629,576
clean,136_POISONED_KEY_2,20,0.001589825119236884,4.684612000270466,-0.039673727694952365,629,576
clean,136_POISONED_KEY_2,21,0.001589825119236884,4.6474220939813105,-0.14517537589317664,629,576
clean,136_POISONED_KEY_2,22,0.006359300476947536,4.671126540195512,-0.1984409828638647,629,576
clean,136_POISONED_KEY_2,23,0.00794912559618442,4.597146487833696,-0.21580149690179828,629,576
